text,label
<user> <user> the shoe being on the other foot would mean that blacks and jews would pay high taxes to subsidies the birth of white babies,normal
<user> the irony is they are the ones whose mothers were raped by m invaders,normal
<user> <user> is a scheming fraud who fronts a hillbilly cult,normal
<user> no idea who these women are they get all the credit for jumping on after the women who been calling for impeachment take the hits and smears and told to go back to where they come from job well done unknown white congress women 🙄,normal
<user> <user> babies in cages destroying environment by rolling back regulations siding with white supremacists bad mouthing gold star families shithole countries response to puerto rico that just a few,normal
i do not blame orlando pie rats for loosing like this they are drunk from that black label 😂 😂 😂 mtn 8 ss diski wafa wafa,normal
catch woahs and pull hoes,normal
niggas cry and complain so much i am starting to think you all the real females in the relationship 💀,offensive
now stephanie liking this nigga shit 😔 he getting mad bitches tonight,normal
remember kids the cucumber is the sluttiest vegetable,normal
<user> there was a time that they where shooting young men on demand look at my tweets i did a whole series these people are worse than the nazis and the children get raped and tortured in jail little palestinian children,normal
i am going to give my fellow negroes some advice dont show up at white christian schools trying to make connections show up at because you are trying to be a christian the romans originally hated the christians they burned them at the stake and they fed them to lions,normal
<user> <user> <user> it was way better than sonoma if you remember your redneck jesus won the glenn also,normal
the flag of the maga fags in all it glory it comes with nigger red shoes too,hatespeech
if i hear the phrase white privilege one more time i am going to opt to come back in my next life as a black hispanic latino illegal muslim jewish faggot feminist queer gay lesbian dike transgender piece of shit in other words everything i have not been in this life,hatespeech
just another dumb nigger,hatespeech
have you proven your gender yet nice profile pic by the way oh im a nigger too,hatespeech
ok give us your defense of nigger dogs tell us how they are not all like that lol i bet you are gonna sound just like some mudshark taking up for actual niggers lol,hatespeech
<user> you first kike,hatespeech
jew should be hated they are a disease that needs to eradicated from among white folk they and their subhuman nigger and arab foot soldiers are the enemy their annihilation is not up for negotiation,hatespeech
all these pro white christians should be deported to africa where they belong who would come out against that these subversive pieces of shit take advantage of white civilization while opening the gates for niggers we need standards that the bottom line and these nigger level iqs are dead weight,hatespeech
yet another sand nigger slaughters innocents hey libscum i hope your sweet little tender daughters are next you brought this scum here now live with it,hatespeech
yet when a couple of filthy dykes want you to pander to their sins as you see them you must comply by law time to start organizing for yourselves no one else is gonna do it for you,hatespeech
<user> and all the animals that were killed people were horrified for their bears and coons and they call themselves liberals the definition of a liberal and feminist have changed keep your old dictionaries,normal
lol that why i wear them i have had many confrontations with the pos muzzies and black panther scum,hatespeech
reminds me of a college fundraiser to help a kike family rebuild their burnt house the father was a magistrado which is like a high court judge so they were richer than most of the other students families,hatespeech
zion goes down after slipping and tearing out of his shoes he limps off on his own power jack white in to the game,normal
feisty little girl white walker giant feisty young woman the night king nuff said got,normal
has stupid rich hoe,normal
nude pictures of older women xl sex toys online sex chat sites top <number> celebrity boobs,normal
silk sheets and diamonds all white,normal
<user> dude there all good except woah and extravagant prob weirdo hoes,normal
bro before hoe,normal
ion hang wit bitches who niggas are insecure,offensive
cat dicks have barbs so it can scrape out competing sperm,normal
lmao the vikings suck get these niggas out of our city,normal
the gap between blackpink and other artists 🤭,normal
those girls were just rude we are just saying what you were thinking bullshit they were just slandering women who are also doing the same hustle as them youtube those are really chats that they could ve done privately and kiki ed amongst themselves,normal
you are a lady uyasebenta and independent you drive a nice car you own a nice apartment you are beautiful and fun but every weekend you wake up with a different guy in bed cry and claim you were raped you do not even remember having sex with them wtf yini lenkinga i am lost,normal
pc as the group bts <user> retweet if you are an army skip and il hate you,normal
dm to paypal me faggots cash fag paypig cash master cash slave,offensive
adulting so ghetto i did not sign up for this 🤦 🏽 ‍ ♀️,normal
sorry about the nigger comment but even blacks do not like niggers,hatespeech
it officially spooky szn bitch,normal
nd only <percent> nigger but jewish culture should be taken into account here thanks jews,hatespeech
i know this is somewhat hypocritical but what the fuck is the deal with queer guys and slightly too small white tshirts,normal
wore a nipsey blue suit today only the niggers in the work place feel the energy 🏁 💙,normal
there a distinction between refugee and illegal migrant a refugee is a victim of persecution illegal migrants are not victims of persecution nrc will identify the illegal migrants citizenship act wd give refugees a new life my request to <user> add ahmadis,normal
<user> <user> a camel jockey midde east watering station,normal
create a list destabilizing violence,normal
<user> sup faggot suck my two inch cock thru my old navy jeans,offensive
i hate fucking niggers,hatespeech
you all niggers are cancers,hatespeech
bitches always worrying about me cough cough <user> dumb hoe,offensive
<user> happy bday slut whatchu on for the day,offensive
this yid endicted yet not arrested and,normal
this nigger just saved the uk,hatespeech
then hoes stole my choreo and still managed to make it look bad and lose with it lmfao,offensive
team name washington warhogs team colors red white and blue team location washington dc team president anybody but bruce allen,normal
tfw jews want to ban p*rn <censored> tfw now i agree with jews tfw i change my ideals get owned jews,offensive
microchip has had more nigger cocks in him than a kfc urinal in chicongo on mlk day 😎,hatespeech
im wearing white pants and i look like a faggot,normal
overthink can kill yourself too <happy>,normal
<user> one of two things is happening here <number> that girl was raped and is misplacing her pain <number> the girl is insanely jealous of kaitlyn based on biology degree dig i am thinking this one,normal
fucking ulgly ass bitch ass stinky ass bitch ass nigger slave nigger teacher faggot peace of shit suck a dick,hatespeech
<user> <user> no one inayah a retarded faggot rather have porridge that the reason u numpty you are big gay,offensive
<user> <user> great poet,normal
pakistani moslem with link to terrorist want to stop a white christian head of state of another country visiting the european country his mother was born in,normal
you are next kike,hatespeech
the muzzies and black churches have always been given a pass this primarily helps conservative churches that have been silent on political issues out of fear of losing their 5 0 1 c3 status,hatespeech
you mean the conservative saint ronald reagan gave amnesty to a million mexicans another chink in his armor,normal
i vote <number> genocide for the arab and nigger scum raping our women killing our people and destroying europe also include the traitors who support the destruction of our people and our ancestral homelands white power,hatespeech
well when i was in the air force they thought i was a dyke plumber bitch so there ya go opinions are like assholes,offensive
that his sister sheboon friend melissa is apparently dating some blonde dude,hatespeech
if the bbi will end the circle of violence and tension after every five years then bring it on,normal
common blacked on get em high,normal
<user> milky spores we think we have moles and the milky spores will kill their food source grubs,normal
all these niggas is parrots,normal
i raped a sheep because it sneezed at a pig,normal
i am so tired of corporate america i am only <number> years old and i feel like i have been in this bitch for <number> years,normal
someone took my fucking dyke pin i am going to kill,normal
lol get a load of this kike,hatespeech
pls call this coon out for the of impoverished blks living on he brink while he and his clowngressional bleak carcass cbc use every avenue to distract from their cowardly performances,hatespeech
tarique is a fucking actor 😂,normal
<user> <user> <user> to what the israeli government does they are so wrong and even gal has spoken up against netanyahu anti arab racism but even poc could uphold white supremacy while still being targeted by white supremacists many non white latinx jews arabs etc can uphold white supremacy,normal
<user> bernardo is just a white honky,hatespeech
<user> <user> <user> more like authocratism the chinese are no facists but they would be on this like flies on a shit,normal
i raped the jews because it bombed dave,normal
i meant whigger not whither lol,normal
<user> lets see you retweeted and called me a weirdo ur clearly talkin to me unless u was side tweetin me like a faggot which one is it,normal
i keep finding out that these bitches i am stanning are like <number> max,normal
why is anna acting like she black 😊,normal
whyte men that workout switch harder then women ol jiggly booty,normal
you all are sophomores in high school now why aos you wanna bring shit up and charge her scheme ass little girl,normal
you bitches are real life weirdos,normal
trust me karma is a bitch 😉,normal
from <date> to <date> the office of refugee resettlement received a total of <number> allegations of sexual abuse or sexual harassment from the government funded detention facilities and only <number> were referred to the justice dept,normal
<user> no ma am please do not twist the matter no indian muslim would be thrown out only muslim refugees would be shown the door after all muslims have <number> countries to go to while hindus have only one india see in this context,normal
the chink salivates as the salamander cries out in extinction,hatespeech
listening to <number> right now and man these callers are morons in hillbilly voice what if we switched aj hinch with bill o brien would the texans do well good lord,normal
<user> <user> <user> <user> <user> follow the thread they are the many people who do not know the difference between illegal immigrant refugee asylum seeker etc,normal
<user> this is difference between illegal muslim refugee who are rohingyas and all the muslim please talk with some sense,normal
<user> should have never been a national news story to begin with it is only to push the rise of hate during trump presidency narrative which is a lie the media and blavity blacks are orgasmic for these type of stories,normal
<user> woman beauty then she went on this woman instagram page and wrote disgusting comments on nearly every pic this woman posted saying why you so white you have no melanin ew he ugly he needs son regarding a baby saying her other grand kids was trailer trash etc,normal
also in this same vibe any wigger who calls white missionaries who save the lives of non white children in africa india ect a race traitor is an actual h0m0,offensive
so none of you all hoes want to get that waist snatched hurd it,offensive
honestly man most of you guys are nigger faggots,hatespeech
old dude just opened the sauna door stared in here for <number> seconds and walked away close the door faggot,offensive
theres dead silence fuck niggaas,normal
<user> club diego tho stripper poles stripper hoes,normal
he just throwing that hoe up,normal
ah shit i forgot a sheboon stole an idea from a white person and made god a black woman how completely fulfilling of the stereotype that they can not come up with anything on their own and steal everything,hatespeech
what a pakis favorite clothing brand jihadidas,offensive
do not worry uk you worked hard cannot afford carehome fees we take your house oh look in london another muzzie family in a nice flat good on you where the tex goes its a shocker,hatespeech
amber guyer this shot a man in his own place bitch got what she deserved justice for botham jean,offensive
a negress too dumb to fuck has a scant chance of understanding anything beyond the size of a dick,hatespeech
every barber shop has a slut that one nigga that goes to any barber to get his haircut and has no sense of barber loyalty it me i am the slut,normal
told dat bitch get right or get left,offensive
<user> everything is rape culture and toxic you disagree with a view i hold i hope you get raped 🧐,normal
why are we having all these people from shithole countries coming here,hatespeech
the only rationale i can see for trump not firing prosecuting rosenstein is that now that little kike is in his pocket bad idea,hatespeech
i was talking to a co worker about the local takeaway shops and instead of saying maggots i said faggots and i am ready to go kill myself oh my god maddie,normal
<user> rape culture is just that culture and it is sickening unfortunately non of the higher ups can understand it because they are all white males who have never had to face anything,normal
people are getting pissed about the evil muzrat cult and gov t complicity,hatespeech
wonder what fatso had for dinner today lollers roanna fish pie i think,normal
angry bald dyke,hatespeech
<user> lets see what they will do to the smelly kike who composed that tweet and whose name is visible in the photo the world awaits his lynching with relish,hatespeech
i have found another degenerate who is pushing smut on gab not a joke he is actually promoting smut and porn <user> is a degenerate diversity kike hiding behind patriotism i am not so easily fooled,hatespeech
washed my white shoes they are so clean and bright 🌞,normal
<user> nice burner account nobody names their kid edwina unless they are georgia trailer trash,offensive
isaac newton alan turing leonardo da vinci florence nightingale alexander the great william shakespeare oscar wilde julius caesar abraham lincoln michaelangelo virginia woolf and fucking zeus were all queer to some degree lgbt excellence 🤭,normal
like brazil many are descendants of west africa social constructs labels classifications have ruined a many people who falsely self identify as white or just do not even know abt their native land all b c of them bum ass caucazoids aka caucasians,offensive
fuck you all hoes,offensive
sesso gratis mature sexy celeb feet free big movies lokal saxy video white halter bikini top,normal
all women are actresses i am just clever enough to be paid for it grace,normal
for the spice golden capricorn reduce white roots sun nuts sunflower powders fluro grey nuts fluro sun set powders,normal
cheating is not the wave grow up you dumbass nigga,normal
i love your pro white jack o lantern fuck that nigger and fuck the national african american communist party founded and run by jews look up it history that not j.p. sedita saying that its ok to be white altright american nationalist,hatespeech
hispanic immigrant dads are literally so wholesome being raised to not show emotion but then showing it about the smallest things they did not have as kids is the purest thing,normal
you tell a nigga that we just fucking he hit me with the so when u become my bitch boy what 🙄,normal
all my bitches gay do that make me a dyke,normal
do u have to be retarded to be a lino,normal
the nigger is a true snake charmer,hatespeech
<user> <user> <user> i love you,normal
i kinda just wanna kill all the mean people i encounter,normal
<user> obama wasn t black he was a mulatto he had a white mother if anything this was a case of racism against caucasians mother thrown to the side barry treated like the lion king what was up with that moral compass jimmy swaggart special edition compass 😂 😂 😂,normal
love the idea that feminism has corrupted women into hating the thought of being a housewife when like half the dykes i know can not shut up about one day living on a farm with their gf,normal
look fuck you fuck the plane you flew in on fuck them shoes fuck those socks with the belt on it fuck yo gay ass fairy faggot accent 👀,offensive
everyone should be using duck duck go as a search engine they do not track you and they are not globalist queers ix quick is good too but their search results are not always that great you should also be using brave firefox or tor as a browser boycott silicon valley boycott globalism,normal
<user> literally no one cares oh look we got a white person to complain about this wow good job,normal
<user> i got raped by an alien did not i,normal
<user> <user> <user> <user> <user> <user> yeah just the backwoods redneck portion of society in oklahoma that does not even know other sports exist,normal
lil white ass never wants to go home,normal
i d rather get fisted by a nigger tbh,offensive
<user> i am dead i fucking hate you 😂 😂 😂,normal
<user> mr levin is there no legal action the president can take to stop this harassment,normal
him idc what she says i will grab any woman by the pussy and fuck you brownies and fuck you fags and dykes us he a rapist racist homophobe transphobe you all how can you be so unpatriotic can t you see he is bringing america back to her roots us yup he sure is,normal
twitter is full of tween dykes who think they are superior to everyone because of muh oppression news flash no one gives a shit,offensive
i hope the niglets keep going down on their knees its the only realistic depiction of blacks on fake news tv any chance of getting t shirts made that say <user> boycott nfl tebow rule cant pray owners are pleased with their blacks down on their knees,offensive
remember how quiet every other pres has been after they left the use obongo because he is a nigger and they think white guilt will work obey obey you were taught in in schools gov and all media obey,offensive
lowlife msm trying to link the guy who rammed a van into moslems in nrth londonistan to tommy robinson britain first well if it linking to anti moslem patriots with brains then about <percent> of uk are there,offensive
<user> <user> <user> yes men commit male violence i actually wouldnt envy a lesbian being confonted with a penis for a number of reasons the fear of being raped or being beaten for turning down the trans woman being just one,normal
<user> <user> <user> <user> not aware of any religion that says your not allowed to exist not aware of any religion that says you can think you are a girl nor is their any religion except islam that forbids homosexuality,normal
thinks spic is mexican thinks they are right thinks they are smart 🤔,offensive
my family crest is a fucking dragon bitch 🐉 🐲,normal
<user> <user> <user> <user> kick that raghead out of america,hatespeech
me sobbing you can not just declare everything queer representation disney pointing at a bat and an owl gay,normal
did not we used to condemn liars criminals conmen tax avoidance philanderers corruption collusion pollution deadbeat parents thieves violence threats etc etc wasn t that a thing i quite liked that thing back in the day when opinions mattered brexit britain,normal
nice idea but i doubt it as my jewish gf back in hs used to say a jew is just a nigger turned inside out neither can ever be satisfied if you give a jew your teeth he will want your eyes too,hatespeech
you guys in germany and us men here in america too we are gonna have to man up and be crusaders this musloid bullshit is totally unacceptable,hatespeech
can not believe my contract got renewed another <number> months lol but that also means i am working on christmas now which is super gay,normal
the queers and lezzies are overstepping their boundary which ends at the closet threshold,offensive
the nigger problem,hatespeech
wonder which nigger i bullycided was giving you the dick lol now i have to deal with widows great,hatespeech
rapture theology tightly interwoven with ideas about the rebirth of israel has inoculated nearly every non mainline protestant denomination against anti semitism meanwhile the mainlines have been infiltrated and are currently obsessed with muzzies and trannies xianity has collapsed,hatespeech
joy reid the token nigger used by msnbc to stupid to realize it,hatespeech
france problems are not going to fix themselves and this attack was just the tip of the iceberg uncontrolled immigration has been an ongoing issue in france for over a decade the only longstanding solution would be to deport every last moslem back to their home countries mega,offensive
<user> they switch up like faggots,offensive
ok so i have been off twatter for some time now so i may just be rusty but has leftist kike trolling actually gotten worse in quality than it was a year or so ago,normal
<user> speaking as part of the maybe some others i am older and white but also a cis gay man not lesbian i loved the indigo girls since the <number> more recently saw them along w mary chapin carpenter and joan baez in charlottesville four voices <number> years ago,normal
<user> fine whatever fuck you too then,normal
<user> was screaming racial slurs sexual harassment towards the woman comic calling her a slut talking shit about gays using faggot went to go use the restroom and got into an altercation outside because he was pissed there were gender neutral bathrooms,normal
your muzrat gov t will never allow brexit,hatespeech
so <number> communist nigger journalist <number> windstorm but trump has caused this terrible wave of hate apparently almighty trump controls both the weather bernie supporters,hatespeech
excuse me but those are not people those are niggers 🐒 buffalo nostril shitskin burrheaded knuckle runnin spear chucking welfare monkey spaboolie spook coon moolie niggers 😑 niggers make me fucking sick 😡 😡 😡,hatespeech
ricky vaughn uses his anonymity to say the words nigger and faggot without repercussions and so many people on gab love it lol,hatespeech
<percent> of niggers who get shot by police in america deserve it and should never be conflated with whites who get shot by incompetent <number> iq nigger diversity hire cops,hatespeech
catholic church since preacher frankie took over a catholic church cemetery in italy where a nativity scene had been displayed every christmas for decades the preacher decided that it will not be displayed because it might hurt some muzzie feelings a top commandment of the gospel is to witness,offensive
ali became a mudslime to avoid the draft ask his offspring on twatter a few times if daddy ensured her genitals were mutilated in accordance with mudslime law and why no burqua was worn but received no answer,hatespeech
fanbloodytastic by time these leeches are held to account especially the muzzie scum taking <number> wives breeding kids like rabbits in order to increase welfare payments potus ur simply the best 👍 👏 👏 👏 👏,hatespeech
bex bailey raped at <number> yrs of age <number> yr old girl in rotherham raped by <number> paki muslims all labour voters in labour held councils and labour protected the rapists liz kendall mp and all 6 5 0 mps disgusts me to my core and they all need destroying,offensive
she did not dyke her haircut did she dat bod tho,offensive
<user> these five women hung back while their constituents begged them to support impeachment while <user> <user> <user> <user> took the brunt of harassment from media and gop the leaders here are women of color these five white women followed eventually,normal
i probably should have put nsfw on that also not safe for home actually not safe for normal white people how a sheboon manages to lose all her clothes during a fight is a mystery that i am not going to watch again to solve <happy>,hatespeech
we need to change the priority of the refugee program we will take all white south afrikans pariotic britains frenchies germies swedes etc persecuted christians let the invaders finish their countries full of muzzrats liberals off,hatespeech
q what do a nigger and a medium domino pizza have in common a they both can not feed a family of <number> <user>,hatespeech
good riddance to bad nigger garbage,hatespeech
saint sir adolf was the most lied about person in history for financial political and kike reasons alt right history lesson,hatespeech
white nationalist can you picture a world where your town is white your schools are white your world is white i have a dream that one day i can live in a white world where little whites kids play with other white kids and the nigger is back in africa,hatespeech
fucking white bread with the crust taken off smushed into a little ball that hogdiggedyddmon keanu reeves pig,normal
we once went to freedom city to watch golola moses fight a thailand nigga ssebo was knocked out in <number> secs,normal
searches surugaya for the one wamujaku doujin i want sadly closes tab cuz they do not have it,normal
<user> lol yeah the drippiest niggas be the ones who thrift i agree tho you be dripping bro,normal
wow is that someone drinking water wow my queer ass homoerotic anime man drank water is this a jojo reference is this a stand i cannot fucking stand you retard,normal
silver medicine in my pants skrt this nigger ass clap,hatespeech
anyway justine as called max a slur justine has been cancelled max is a free dyke now,normal
if i followed you and you did not follow back fuck you i got suspended if you did not know faggots,hatespeech
in all seriousness there a probability of moslem men attending the million woman march and sexually assaulting them i hope i am wrong,offensive
this white boy was like wyd and i said i was at work i swear to god he asked me what i was wearing and said my work uniform,normal
wishing the happiest birthday to my favorite crackhead <user> love u bitch,normal
whitey prevails for a change miss south africa beats out a nig two spics and a gook to win miss u,hatespeech
his ancestors are rolling in their graves a negress had been added to the royal line therefore ending it royal wedding heritage uk,hatespeech
is luke ford on a mission to infiltrate the altright to prove his kike conversion bona fides,hatespeech
<user> we work several days out of your year to support the illegals kids and nigger babies in those government schools which is why i am a big advocate for homeschooling responsible white parents should never allow their kids to attend these institutions,hatespeech
<user> agusta main or texes which state you live in tossa people want to catch up with you are you scared little nigger or what,hatespeech
bill clinton is an evil creature um maybe slick is a mussie rapist all this time,offensive
<user> <user> <user> <user> imran khan and the entire p gistan 🇵 🇰 the jihadi radical islamic terrorists supremacist nation which is full of jiahdi terrorists radical terrorist p gs 😂 😂,normal
<user> <user> <user> <user> <user> <user> <user> <user> most excluded are hindu refugees not economic muslim migrants hindus are killed raped forcibly converted in pakistan and bangladesh entire nrc is a farce,normal
<user> white people made it illegal to rape woman you are welcome,normal
this is why niggas like that get away with shit u missed the whole fucking point he raped a woman so them telling other women to warn them thats wrong tf shit really irks me,normal
<user> <user> welcome to modern britain the country where freedom of speech being white heterosexual male female non muslim is now classed as being racist fascist homophobic islamophobic made up word the country is falling,normal
considering that i am queer and to an extent neurodivergant i realize that it is a possibility that i could be the target of violence though make no mistake right now i as a white bisexual man have a much lower chance of assault than say a black trans woman,normal
<user> i will drive my white ass down to dallas from new york and stand right there with you justice botham jean amber guyger murder trial life in prison,normal
<user> i could not quit laughing at it yesterday white cucks out in their bass boats risking their lives to save the niggers and mexicans seriously fuck those cucks fuck the brown people and fuck all the non texans who have moved in there oh and fuck the nigger mayor,hatespeech
i am offended because nigger faggot kike spic chink gook cracker,hatespeech
meet the british nigger bitch princess criminal trash family 🤣,hatespeech
i guess the nigger wasn t around to pez her so she wised up and jumped,hatespeech
this what happens when little adam is way smarter than his fat dyke lib teacher,hatespeech
niggerchomp isnt a chink she a white american dog 😡,hatespeech
sacrifices must be made i agree screw that newport smoking fatass mudshark and her ugly mama too,hatespeech
lets hope so gas the lot including the nigger,hatespeech
biggest unforced cultural error of the last few years couple of ugly dykes suing christian bakery for refusing to make them a gay wedding cake any potential wedge between trump and the religious right was healed then and there nice work ladies trumpslide meme war maga,hatespeech
the libtard setback for the moslem refugee ban just tells trump what needs to be corrected and who fucking things up for the american people when scalia replacement is named it back to the ban,offensive
<user> <user> <user> her incompetence has nothing to do with her colour mcdonut thornberry and corbyn are all white and all <number> are as useless as each other,normal
ellen page plays a lesbian suffragette in what the sunday times are calling the best queer film since happy together,normal
<user> we have never seen any fabricates of whites being harassed as breaking news in our countries in my neighborhood one white lady pressed some serious charges against a black boy for harassment after much investigation it was found that she was just lying it wasn t a breakingnews,normal
all right faggots why is it that our posts bantzing beaners get so much engagement but when we take the piss out niggers and kikes you all get so silent all of a sudden,hatespeech
<user> <user> <user> lol no one is supporting bhikharistan except pro muslim countries like turkey malaysia no one gives a fuck about porkistan,normal
suck out you faggot,offensive
excited for dam with bitches,normal
ho keep sayin in the1 dior on my bitch and flood myself in saint laurent ⭐ ️ ⚠️,normal
that nigga rob said drums over flats and a proud bleu cheese advocate and you all let that boy talk crazy bout food to you all smh,normal
free viewing of ghost bait until whoever is charge at travel channel catches wind of it,normal
a retard being questioned by good cop and his sidekick bad cop,offensive
you bitches are retarded learn your self worth stop trying to come for the female and correct your wack ass man,normal
<user> retarded is when women do not get their books checked before its too late,normal
<user> should have been removed the last time he threatened this but making laws against people brown people black people gay people female people sick people poor people homeless people refugee people is more important than protecting our democracy of the people <user>,normal
<user> <user> coming from someone who finds it necessary to kill all the cows in this country in the name of global warming,normal
<user> he will take our rights away one at a time banning lgbt rights and then going back to all white segregations and etc his now evangical base is trying to take over america its all bad bad and needs to be stopped,normal
we owe hillbilly aggy a serious ass whipping a serious one,normal
<user> <user> the skinnies have not been oppressed ok you acting like them white people when we start saying blm now 😂,normal
so you are gonna be loud on ig about rapists and stick up for women yet you have raped and abused multiple women including myself and told your mrs i am just your crazy ex and that why i hate you pick a fucken side you sick fuck,normal
<user> like someone will say nigga to be cool bc it in song but they do not fuck w black ppl you piss them off and they are calling you a nigger it not the same,normal
that redneck stuff damn hillbilly ppl,hatespeech
shalom aussie goyim my name is gladys berejiklian i call myself an armenian but in fact i am a ratfaced kike looking to implement communism in your country do you like my gallah beak,hatespeech
the first white president since were going into skin color now obama was the first nigger president lets return to the good old times,hatespeech
there was no islamic holy violence prior to <number> retard slav nigger,hatespeech
depeche kike personal hitler remastered video,hatespeech
did you know the only time moslem women can walk before men,normal
if you zoom in real close to the dike with the shaved head you will notice that she has the pupils of a serpent,hatespeech
<user> nope they should be praying i dont have a new nigga bitch by time they get out,normal
refugees in white homelands are worth more then gold to israel ask trump and any kike truth fears no investigation they are low wage workers which will destroy america labor market but you still vote for this goyim,hatespeech
you are the epitome of stupidity you could not beat the kike vermin alone last time so this time your goal is wait for it to fight the kike vermin alone again and lose again you have the strategic sense hitler did moron,hatespeech
<user> <user> yes even radical muzzies planning to take over america over <number> are running for office and <number> just in congress i will not support the muslim brotherhood i am not stupid any more than i would vote for socialism screw the dems,normal
<user> <user> almost two years after the election things are becoming worst just as mentioned in your report sexual violence cases have increased babies are being raped you might want to do a follow up report,normal
this happens a lot in the makeup beauty community gay men think that the women who have a problem with drag queens or with gay men using misogynistic slurs etc all must be str8 girls who do not know how the lgbt community works guess what dykes hate you too,normal
<user> both dialogues sound like something black people would say not whites,normal
<user> you know you get no girls you look like a bitch you let silent bitch you you always buy shit for him and suck him off get off my twitter feed queer,offensive
<user> what does this concern for queer theory in schools have to do with a homophobic account,normal
my mom and i were in the produce section of the supermarket she points in the general direction and just speaks in mandarin want ching chong i did not know what she said so i just start guessing everything in sight mushrooms pumpkins she went and picked up a pineapple,normal
<user> dude got <number> million votes and much of the press seems to think they were all white trash nazis trying to bring back segregation it so dumb,normal
and all the muzzies in the world combined,offensive
if another white person has the caucasity to talk over me again i am trow hands 👊 🏽,normal
<user> <user> i saw that the halloween industry is expecting white claw costumes to be the most popular slutty costumes this year,normal
<user> well technically he was referring to a white bitch on go get it so ok,normal
<user> bring out the uneducated hillbillies and white supremacists to our sign meeting and donate to our right wing cause duh i work oil duh i like truck duh me hate muslim duh i can not read,normal
<user> but yeah fuck them white devils,normal
i do not think my bf knew what he was getting in a relationship with cause i will shoot his white ass if he keep leaving me on read,normal
<user> <user> poor buggers perhaps they should not have raped and beaten children,normal
<user> remember when ebola was in american news and all white people there got scared when they are not even close to africa,normal
you are banned remember white boy,normal
i know its hard being queer in the lgbt community generally so positive vibes for everyone ☆ ♡ ☆,normal
i remember when vontaze burfict almost killed that nigga ab on the field wit that hit 🤦 🏾 ‍ ♂️ 😭,normal
watching the rugby game and the entire other team has long hair this feels antithetical to the dyke ethos of it all,hatespeech
this yid parasitic bitch should be hanged on the 1 st tall tree that grows in the center of the city to all to see and learn that yids are beasts of the field and not allowed to exist with humans,hatespeech
a greedy man always has his eye on his wife pot — cameroonian african proverbs ☼,normal
lol at <user> thinks he a dothead kike lol,hatespeech
lol at <user> thinks currynigger monkey cow elephant worshipping streetshitters are taking over the world lol currynigger you re just riding the white mans dick thank u come again,hatespeech
<user> ian timings opinions are only those of a nigger cock sucker therefore they are invalid <number> kk,hatespeech
you are arguably pretty stupid to not recognize that ecological collapse means no food your chances of survival dramatically decreases this is nigger level shortsightedness right here,hatespeech
<user> damn i forgot you do security lmfao you do not count tho hoe lmao,offensive
you all think dolphins have a form of what up my nigga,normal
stunting on all yall hoes that was flexing on me,normal
chanelle really my best bitch ❤️ love her 😭,normal
o this white gurl liked chocolate dick,normal
he a jew when it convenient for him and a fellow white person when thats more convenient just like literally every other kike,hatespeech
<user> <user> why does lindsey tweet he posts something dumb and then gets dragged,normal
