post_tokens,toxic_tokens,post_label
"['i', 'have', 'an', 'africana', 'class', 'tuesday', 'mornings', 'and', 'i', 'never', 'can', 'make', 'it', 'it', 'too', 'early', 'in', 'the', 'week', 'to', 'be', 'in', 'a', 'room', 'full', 'of', 'white', 'people', 'talking', 'about', 'black', 'people']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['rt', 'realdonaldtrump', 'great', 'to', 'see', 'how', 'hard', 'republicans', 'are', 'fighting', 'for', 'our', 'military', 'and', 'safety', 'at', 'the', 'border', 'the', 'dems', 'just', 'want', 'illegal', 'immigrants', 'to', 'pour', 'into', 'our', 'nation', 'unchecked', 'if', 'stalemate', 'continues', 'republicans', 'should', 'go', 'to', '<number>', 'nuclear', 'option', 'and', 'vote', 'on', 'real', 'long', 'term', 'budget', 'no', 'c.r.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['if', 'trump', 'bombs', 'the', 'living', 'shit', 'out', 'of', 'syria', 'surely', 'a', 'million', 'of', 'more', 'refugees', 'are', 'going', 'to', 'flee', 'to', 'europe', 'and', 'elsewhere', 'jews', 'have', 'lots', 'of', 'practice', 'pulling', 'on', 'goyim', 'heartstrings', 'promoting', 'this', 'except', 'of', 'course', 'for', 'israel']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
"['scrape', 'that', 'shit', 'off']","[0, 0, 0, 0]",normal
"['whoever', 'made', 'this', 'thread', 'has', 'the', 'big', 'gay']","[0, 0, 0, 0, 0, 0, 0, 1]",offensive
"['<user>', '<user>', '<user>', '<user>', 'try', 'all', 'impeachment', 'articles', 'are', 'filed', 'and', 'voted', 'on', 'in', 'the', 'house', 'then', 'the', 'senate', 'has', 'a', 'trial', 'this', 'is', 'civics', '<number>', 'and', 'you', 'are', 'old', 'enough', 'to', 'remember', 'clinton', 'impeachment', 'you', 'are', 'being', 'intentionally', 'obtuse']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['they', 'have', 'thousands', 'of', 'years', 'of', 'practice', 'but', 'the', 'fuckers', 'keep', 're', 'branding', 'themselves', 'in', 'history', 'books', 'so', 'nobody', 'realizes', 'it', 'the', 'same', 'jews', 'using', 'the', 'same', 'rabid', 'arabs', 'century', 'after', 'century']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
"['<user>', 'what', 'is', 'retarded', 'dancing']","[0, 0, 0, 1, 0]",offensive
"['u', 'white', 'devil']","[0, 1, 1]",offensive
"['rt', 'this', 'if', 'ur', 'a', 'fat', 'gay', 'retard']","[0, 0, 0, 0, 0, 1, 1, 1]",offensive
"['<user>', '<user>', 'at', 'least', 'they', 'only', 'made', 'you', 'guys', 'out', 'to', 'be', 'like', 'la', 'croix', 'nazis', 'and', 'climate', 'change', 'deniers']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",offensive
"['this', 'is', 'not', 'shocking', 'this', 'is', 'islam', 'it', 'what', 'they', 'do', 'islam', 'teaches', 'non', 'believers', 'deserve', 'whatever', 'they', 'get', 'the', 'quicker', 'people', 'get', 'this', 'fact', 'the', 'better']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['<user>', '<user>', 'quillette', 'is', 'nazi', 'propaganda', 'what', 'a', 'surprise']","[0, 0, 0, 0, 1, 1, 0, 0, 0]",offensive
"['no', 'nigger', 'in', 'this', 'blood', 'stream']","[0, 1, 0, 0, 0, 0]",hatespeech
"['i', 'have', 'jew', 'relations', 'but', 'they', 'are', 'not', 'friends', 'zero', 'jew', 'friends', 'i', 'was', 'raised', 'in', 'the', 'south', 'and', 'i', 'always', 'point', 'out', 'how', 'their', 'retard', 'politics', 'made', 'it', 'very', 'hard', 'for', 'a', 'right', 'wing', 'mischling', 'kid', 'with', 'a', 'military', 'dad', 'raised', 'in', 'the', 'south']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
"['there', 'is', 'a', 'negative', 'attitude', 'towards', 'whites', 'to', 'many', 'nonwhites', 'we', 'are', 'parasitic', 'and', 'cannot', 'be', 'trusted', 'we', 'uphold', 'institutionalized', 'racism', 'and', 'embrace', 'white', 'privilege', 'these', 'same', 'people', 'find', 'our', 'neighborhoods', 'and', 'our', 'schools', 'to', 'be', 'the', 'most', 'desirable', 'this', 'only', 'creates', 'a', 'hostile', 'environment', 'for', 'us']","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",offensive
"['i', 'be', 'so', 'hungry', 'all', 'the', 'time', 'this', 'shit', 'is', 'ghetto']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['my', 'nigga', 'my', 'nigga']","[0, 0, 0, 0]",normal
"['<user>', '<user>', 'police', 'state', 'they', 'can', 'not', 'stop', 'they', 'want', 'to', 'kill', 'all', 'of', 'us', '😠', '😡', '😠', '😡']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['<user>', 'yeah', 'and', 'today', '<number>', 'illegal', 'aliens', 'were', 'released', 'in', 'texas']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",offensive
"['<user>', '<user>', 'are', 'you', 'always', 'so', 'glum', 'rhys', 'boyo', 'the', 'term', 'feminazi', 'is', 'called', 'a', 'figure', 'of', 'speech', 'and', 'accurately', 'describes', 'the', 'shrill', 'hectoring', 'aggressive', 'oppressive', 'verbal', 'violence', 'of', 'a', 'very', 'small', 'minority', 'of', 'extremist', 'women']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['i', 'think', 'we', 'are', 'past', 'the', 'negotiation', 'phase', 'it', 'time', 'to', 'issue', 'an', 'ultimatum', 'all', 'sand', 'niggers', 'and', 'kikes', 'out', 'of', 'america', 'or', 'get', 'executed', 'an', 'invader']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['cause', 'why', 'beg', 'when', 'it', 'niggas', 'out', 'here', 'begging', 'me']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['that', 'is', 'defeatist', 'thinking', 'and', 'would', 'not', 'work', 'anyways', 'the', 'muslim', 'state', 'would', 'just', 'spread', 'even', 'further', 'french', 'should', 'fight', 'and', 'kill', 'all', 'the', 'muslims', 'non', 'whites', 'while', 'they', 'still', 'can', 'deportation', 'would', 'be', 'significantly', 'harder', 'and', 'would', 'cost', 'way', 'more', 'white', 'lives', 'than', 'killing', 'non', 'whites', 'on', 'sight']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['finally', 'got', 'my', 'first', 'twitter', 'jail', 'sentence', 'for', 'calling', 'a', 'goatfucker', 'a', 'goatfucker', 'while', 'they', 'whinged', 'about', 'poor', 'oppressed', 'muslims', 'being', 'kicked', 'out', 'of', 'myanmar', 'for', 'slaughtering', 'the', 'buddhists', 'i', 'should', 'start', 'using', 'this', 'site', 'more']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
"['<user>', 'they', '’', 're', 'illegal', 'immigrants', 'they', 'don', '’', 't', 'like', 'the', 'fucking', 'setup', 'turn', 'around', 'and', 'go', 'home', 'no', 'one', 'is', 'forcing', 'them', 'to', 'stay']","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",offensive
"['gas', 'this', 'kike']","[0, 0, 1]",hatespeech
"['fuck', 'you', 'all', 'hoes']","[0, 0, 0, 1]",offensive
"['i', 'am', 'glad', 'you', 'have', 'a', 'father', 'and', 'he', 'seems', 'like', 'a', 'decent', 'one', 'keep', 'listening', 'to', 'him', 'i', 'dealt', 'professionally', 'with', 'large', 'numbers', 'of', 'jews', 'for', 'years', 'they', 'are', 'a', 'disgusting', 'cruel', 'and', 'mendacious', 'people', 'they', 'are', 'like', 'crueler', 'more', 'intelligent', 'arabs']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",offensive
"['the', 'non', 'apology', 'apology', 'respect', 'for', 'rapp', 'as', 'an', 'actor', 'not', 'as', 'a', 'person', 'talks', 'about', 'romantic', 'relationships', 'with', 'men', 'and', 'women', 'not', 'sexual', 'assault', 'of', 'a', 'boy', 'pederasty', 'and', 'homosexuality', 'go', 'hand', 'in', 'hand', 'hiding', 'behind', 'socially', 'accepted', 'perversity', 'to', 'cover', 'unacceptable', 'pederasty']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['i', 'dont', 'even', 'want', 'her', 'on', 'the', 'same', 'planet', 'as', 'dr', 'ben', 'carson', 'she', 'symbolizes', 'everything', 'he', 'is', 'not', 'a', 'low', 'life', 'ghetto', 'queen']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",offensive
"['liberals', 'consider', 'tribalism', 'to', 'be', 'completely', 'normal', 'except', 'when', 'caucasians', 'practice', 'it', 'then', 'it', 'the', 'most', 'horrible', 'racist', 'thing', 'ever', 'and', 'all', 'white', 'people', 'should', 'just', 'be', 'fucking', 'killed', 'or', 'forcibly', 'crossbred', 'with', 'other', 'races', 'because', 'of', 'it', 'ideally', 'right', 'this', 'second', 'because', 'tolerance']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['look', 'how', 'she', 'talk', 'she', 'sexy', 'i', 'like', 'when', 'they', 'pretty', 'and', 'ghetto', 'type', 'of', 'bitch', 'that', 'do', 'not', 'even', 'say', 'hello']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['<user>', 'there', 'all', 'full', 'of', 'shit', 'who', 'ever', 'believes', 'them', 'are', 'truly', 'retarded']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",offensive
"['i', 'live', 'and', 'work', 'with', 'many', 'legal', 'mexican', 'immigrants', 'who', 'are', 'great', 'citizens', 'and', 'trump', 'supporters', 'they', 'have', 'no', 'problem', 'with', 'deporting', 'illegals', 'maga']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['c', 'mon', 'men', 'charge', 'it', 'for', 'the', 'gays', 'trannies', 'muslim', 'rapists', 'so', 'that', 'an', 'effeminate', 'half', 'black', 'guy', 'can', 'be', 'president']","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]",hatespeech
"['if', 'they', 'do', 'not', 'fear', 'us', 'then', 'why', 'do', 'they', 'pay', 'kike', 'shills', 'like', 'you', 'to', 'think', 'up', 'cringe', 'poetry']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['please', 'can', 'you', 'enlighten', 'me', 'as', 'to', 'why', 'chabad', 'jews', 'think', 'they', 'are', 'superior', 'are', 'we', 'all', 'not', 'gods', 'children', '<number>', 'is', 'a', 'very', 'important', 'number', 'yes', 'its', 'not', 'just', 'your', 'religious', 'number', 'i', 'would', 'welcome', 'conversation', 'with', 'you', 'to', 'try', 'and', 'understand', 'your', 'attitude', 'towards', 'goyem', 'life']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
"['i', 'am', 'not', 'obligated', 'to', 'date', 'a', 'broke', 'nigga', 'mfs', 'try', 'to', 'make', 'you', 'feel', 'bad', 'for', 'having', 'standards']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['i', 'think', 'ancestry', 'com', 'only', 'exists', 'to', 'troll', 'white', 'liberals', 'by', 'telling', 'them', 'they', 'have', 'some', 'nigger', 'dna', '😹', '😹', '😹']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['<user>', 'do', 'not', 'kill', 'yourself', 'stay', 'alive', '<user>']","[0, 0, 0, 0, 0, 0, 0, 0]",normal
"['we', 'are', 'not', 'failing', 'at', 'anything', 'you', 'cowardly', 'little', 'tag', 'along', 'and', 'you', 'are', 'not', 'a', 'part', 'of', 'the', 'altright', 'so', '<number>', 'fuck', 'off', 'and', 'quit', 'countersigning', '<number>', 'build', 'your', 'own', 'based', 'nigger', 'maga', 'movement', '<number>', 'send', 'your', 'sheltered', 'followers', 'to', 'us', 'when', 'they', 'wish', 'to', 'have', 'a', 'pair', 'grown']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['i', 'bet', 'if', 'it', 'were', 'white', 'french', 'people', 'in', 'the', 'streets', 'of', 'paris', 'being', 'racist', 'or', 'homophobic', 'instead', 'of', 'crimmigrants', 'rioting', 'we', 'd', 'find', 'out', 'just', 'how', 'damn', 'tough', 'those', 'french', 'police', 'really', 'are']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['cat', 'dicks', 'have', 'barbs', 'so', 'it', 'can', 'scrape', 'out', 'competing', 'sperm']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['<user>', 'i', 'will', 'call', 'my', 'friends', 'and', 'we', 'go', 'fuck', 'up', 'that', 'nigger']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",hatespeech
"['<user>', 'no', 'are', 'you', 'retarded']","[0, 0, 0, 0, 1]",offensive
"['we', 'are', 'not', 'offended', 'by', 'the', 'counter', 'semitism', 'if', 'you', 'are', 'not', 'outraged', 'by', 'what', 'elite', 'jews', 'are', 'doing', 'to', 'white', 'countries', 'you', 'are', 'not', 'paying', 'attention']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['muslim', 'guys', 'will', 'listen', 'to', 'drake', 'for', '<number>', 'hours', 'straight', 'and', 'ignore', 'the', 'quran', 'bro', 'you', '’', 're', 'focusing', 'on', 'the', 'wrong', 'gods', 'plan']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['<user>', 'you', 'are', 'right', 'do', 'not', 'kill', 'yourself', 'but', 'jesus', 'stop', 'posting', 'this', 'shit']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['germans', 'love', 'high', 'taxes', 'nigger', 'hordes', 'now', 'that', 'the', 'german', 'elections', 'are', 'finished', 'merkel', 'now', 'comes', 'with', 'the', 'tax', 'hikes', 'this', 'shows', 'the', 'contempt', 'for', 'the', 'people', 'assume', 'that', 'they', 'are', 'just', 'stupid', 'so', 'do', 'nothing', 'before', 'and', 'election', 'then', 'raise', 'the', 'taxes', 'after', 'according', 'to', 'a', 'report']","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['hey', 'england', 'time', 'to', 'ban', 'bridges', 'white', 'vans', 'and', 'vigils', 'the', '<percent>', 'of', 'you', 'that', 'are', 'sick', 'of', 'loser', 'muzzies', 'need', 'to', 'sack', 'up', 'and', 'take', 'matters', 'into', 'your', 'own', 'hands', 'ban', 'islam', 'ban', 'muslims']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",hatespeech
"['with', 'each', 'passing', 'day', 'i', 'am', 'coming', 'more', 'and', 'more', 'to', 'the', 'conclusion', 'that', 'women', 'are', 'some', 'kinda', 'nigger', 'variant']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",offensive
"['raccoons', 'are', 'best', 'coons']","[0, 0, 0, 0]",normal
"['tarique', 'is', 'a', 'fucking', 'idiot']","[0, 0, 0, 0, 0]",normal
"['me', '🤝', 'looking', 'like', 'a', 'dyke', 'every', 'day']","[0, 0, 0, 0, 0, 0, 0, 0]",normal
